POP,HP,REG,regHP,SAMPLE,LANE,READ1,READ2
CHSC,CH,Scot,ScotCH,P12002_192,S31_L001,../../../data/WGS/rawdata/P12002/P12002_192/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_192_S31_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_192/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_192_S31_L001_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_193,S110_L004,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_193_S110_L004_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_193_S110_L004_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_193,S110_L007,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_193_S110_L007_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_193_S110_L007_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_193,S65_L002,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_193_S65_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_193/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_193_S65_L002_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_194,S44_L002,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L002_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_194,S44_L005,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L005_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L005_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_194,S44_L008,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L008_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_194/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_194_S44_L008_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_195,S77_L003,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_195_S77_L003_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_195_S77_L003_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_195,S77_L006,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_195_S77_L006_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_195_S77_L006_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_195,S32_L001,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_195_S32_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_195/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_195_S32_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_196,S111_L004,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_196_S111_L004_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_196_S111_L004_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_196,S111_L007,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_196_S111_L007_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_196_S111_L007_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_196,S66_L002,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_196_S66_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_196/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_196_S66_L002_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_201,S112_L004,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_201_S112_L004_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_201_S112_L004_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_201,S112_L007,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_201_S112_L007_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_201_S112_L007_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_201,S67_L002,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_201_S67_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_201/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_201_S67_L002_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_202,S78_L003,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_202_S78_L003_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_202_S78_L003_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_202,S78_L006,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_202_S78_L006_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_202_S78_L006_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_202,S33_L001,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_202_S33_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_202/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_202_S33_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_203,S79_L003,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_203_S79_L003_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_203_S79_L003_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P12002_203,S79_L006,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_203_S79_L006_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_203_S79_L006_R2_001.fastq.gz
