task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	be/33aece	4312	STAM_PIPELINE:QC_PREPROCESSING:INDEX_MINIMAP2 (test-comp)	COMPLETED	0	2025-05-22 23:20:09.294	826ms	473ms	122.1%	10 MB	153.3 MB	3.3 MB	21.9 MB
1	90/edd6ca	4332	STAM_PIPELINE:QC_PREPROCESSING:BWA_INDEX_COMP_REF (test-comp)	COMPLETED	0	2025-05-22 23:20:09.301	5.1s	4.7s	91.9%	111.2 MB	117.9 MB	27.3 MB	28.6 MB
12	83/6155cc	6783	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_145_S94_L007)	COMPLETED	0	2025-05-22 23:20:09.828	1m 32s	1m 32s	460.2%	4.4 GB	4.9 GB	2.3 GB	1.9 GB
26	7a/734d19	6257	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L007)	COMPLETED	0	2025-05-22 23:20:09.739	1m 44s	1m 44s	92.7%	709 MB	4.4 GB	1.1 GB	1.8 MB
27	57/611b9d	6507	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L007)	COMPLETED	0	2025-05-22 23:20:09.784	1m 46s	1m 46s	92.2%	727.9 MB	4.2 GB	1.2 GB	1.8 MB
8	fd/985c42	6748	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_145_S94_L004)	COMPLETED	0	2025-05-22 23:20:09.822	1m 51s	1m 50s	459.3%	4.4 GB	4.8 GB	2.5 GB	2.1 GB
22	45/7e962a	6473	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L004)	COMPLETED	0	2025-05-22 23:20:09.779	1m 51s	1m 51s	92.2%	716.1 MB	4.3 GB	1.2 GB	1.7 MB
4	87/fc2769	6822	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L005)	COMPLETED	0	2025-05-22 23:20:09.835	1m 54s	1m 53s	491.1%	4.3 GB	4.8 GB	2.6 GB	2.2 GB
5	d4/e34bad	6881	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L008)	COMPLETED	0	2025-05-22 23:20:09.842	1m 55s	1m 55s	484.3%	4.3 GB	4.9 GB	2.6 GB	2.1 GB
25	5d/af878f	6184	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_145_S94_L004)	COMPLETED	0	2025-05-22 23:20:09.718	1m 56s	1m 56s	91.5%	711.4 MB	4.2 GB	1.2 GB	1.8 MB
3	5a/156784	6937	STAM_PIPELINE:QC_PREPROCESSING:TRIM (P12002_101_S13_L002)	COMPLETED	0	2025-05-22 23:20:09.848	2m	1m 59s	476.7%	4.4 GB	4.8 GB	2.7 GB	2.2 GB
20	2d/a1e74c	6216	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L008)	COMPLETED	0	2025-05-22 23:20:09.726	2m	2m	90.8%	761.1 MB	4.3 GB	1.2 GB	1.8 MB
16	66/e2b727	6678	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L005)	COMPLETED	0	2025-05-22 23:20:09.809	2m 1s	2m 1s	90.2%	745.3 MB	4.3 GB	1.3 GB	1.7 MB
9	4d/d2ed50	6227	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L002)	COMPLETED	0	2025-05-22 23:20:09.731	2m 2s	2m 2s	90.0%	702.7 MB	4.3 GB	1.3 GB	1.8 MB
21	6b/b526b9	6143	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L008)	COMPLETED	0	2025-05-22 23:20:09.710	2m 3s	2m 3s	89.7%	708.1 MB	4.3 GB	1.3 GB	1.8 MB
19	02/691289	3776	STAM_PIPELINE:QC_PREPROCESSING:VALIDATE_PE_RAW (validate-P12002_145_S94_L007-sr-raw)	COMPLETED	0	2025-05-22 23:20:09.103	2m 4s	2m 4s	107.1%	4.1 GB	46 GB	2.3 GB	11.8 KB
13	c9/b222c6	6240	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L002)	COMPLETED	0	2025-05-22 23:20:09.735	2m 4s	2m 4s	89.9%	689.2 MB	4.2 GB	1.4 GB	1.8 MB
18	4f/37925f	6306	STAM_PIPELINE:QC_PREPROCESSING:FASTQC_RAW (P12002_101_S13_L005)	COMPLETED	0	2025-05-22 23:20:09.749	2m 5s	2m 5s	89.8%	788.9 MB	4.3 GB	1.3 GB	1.8 MB
