task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	11/0cfc13	1471778	TRIM (P12002_145_S94_L007)	COMPLETED	0	2025-05-19 23:51:11.999	1m 41s	1m 40s	437.1%	4.4 GB	4.8 GB	2.3 GB	1.9 GB
16	64/65ab6e	1471063	TRIM (P12002_101_S13_L008)	COMPLETED	0	2025-05-19 23:51:11.865	1m 43s	1m 42s	495.4%	4.4 GB	4.8 GB	2.6 GB	2.1 GB
15	96/a0c5e9	1471225	TRIM (P12002_145_S94_L004)	COMPLETED	0	2025-05-19 23:51:11.909	1m 45s	1m 45s	441.0%	4.4 GB	4.8 GB	2.5 GB	2.1 GB
9	66/c8278d	1471342	FASTQC_RAW (P12002_145_S94_L007_R2_001)	COMPLETED	0	2025-05-19 23:51:11.935	1m 48s	1m 48s	88.8%	725.4 MB	4.3 GB	1.2 GB	1.8 MB
12	36/5f3971	1471013	FASTQC_RAW (P12002_145_S94_L007_R1_001)	COMPLETED	0	2025-05-19 23:51:11.842	1m 51s	1m 51s	88.4%	724.4 MB	4.3 GB	1.1 GB	1.8 MB
19	c0/2569b1	1471427	TRIM (P12002_101_S13_L005)	COMPLETED	0	2025-05-19 23:51:11.946	1m 52s	1m 52s	489.0%	4.4 GB	4.8 GB	2.6 GB	2.2 GB
6	df/751697	1471029	FASTQC_RAW (P12002_145_S94_L004_R2_001)	COMPLETED	0	2025-05-19 23:51:11.850	1m 54s	1m 54s	88.8%	707.1 MB	4.4 GB	1.2 GB	1.8 MB
4	84/14170b	1471088	FASTQC_RAW (P12002_145_S94_L004_R1_001)	COMPLETED	0	2025-05-19 23:51:11.872	1m 55s	1m 55s	88.6%	772.5 MB	4.4 GB	1.2 GB	1.7 MB
18	74/af6750	1471043	TRIM (P12002_101_S13_L002)	COMPLETED	0	2025-05-19 23:51:11.858	1m 58s	1m 57s	458.5%	4.4 GB	4.8 GB	2.7 GB	2.2 GB
8	f2/3ca962	1471249	FASTQC_RAW (P12002_101_S13_L008_R1_001)	COMPLETED	0	2025-05-19 23:51:11.916	2m	2m	88.9%	759.9 MB	4.4 GB	1.2 GB	1.8 MB
11	ba/163eb8	1471273	FASTQC_RAW (P12002_101_S13_L008_R2_001)	COMPLETED	0	2025-05-19 23:51:11.924	2m	2m	89.8%	724.9 MB	4.3 GB	1.3 GB	1.8 MB
30	cb/59cf59	1511333	MULTIQC_FASTP (multiqc)	COMPLETED	0	2025-05-19 23:53:09.719	3.2s	2.8s	287.6%	94.3 MB	17.2 GB	44.5 MB	26.4 MB
