task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	f4/d320ce	1204101	TRIM (P12002_145_S94_L004)	COMPLETED	0	2025-05-19 11:44:07.256	1m 43s	1m 43s	444.0%	4.4 GB	4.9 GB	2.5 GB	2.1 GB
16	50/557a0d	1203781	TRIM (P12002_145_S94_L007)	COMPLETED	0	2025-05-19 11:44:07.176	1m 44s	1m 44s	443.1%	4.4 GB	4.8 GB	2.3 GB	1.9 GB
11	24/81ab21	1203918	FASTQC_RAW (P12002_145_S94_L007_R1_001)	COMPLETED	0	2025-05-19 11:44:07.224	1m 45s	1m 45s	87.8%	762 MB	4.4 GB	1.1 GB	1.8 MB
8	76/2e0c53	1204143	FASTQC_RAW (P12002_145_S94_L007_R2_001)	COMPLETED	0	2025-05-19 11:44:07.261	1m 49s	1m 49s	89.1%	713.7 MB	4.4 GB	1.2 GB	1.8 MB
17	9d/c63bd0	1204229	TRIM (P12002_101_S13_L002)	COMPLETED	0	2025-05-19 11:44:07.275	1m 50s	1m 50s	464.7%	4.4 GB	4.8 GB	2.7 GB	2.2 GB
18	21/79215d	1203939	TRIM (P12002_101_S13_L005)	COMPLETED	0	2025-05-19 11:44:07.230	1m 50s	1m 50s	492.8%	4.3 GB	4.8 GB	2.6 GB	2.2 GB
15	af/2309eb	1204193	TRIM (P12002_101_S13_L008)	COMPLETED	0	2025-05-19 11:44:07.268	1m 51s	1m 51s	498.1%	4.4 GB	4.9 GB	2.6 GB	2.1 GB
4	ab/15b75c	1203830	FASTQC_RAW (P12002_145_S94_L004_R1_001)	COMPLETED	0	2025-05-19 11:44:07.204	1m 53s	1m 53s	89.3%	720.6 MB	4.3 GB	1.2 GB	1.7 MB
6	33/b93cd3	1204037	FASTQC_RAW (P12002_145_S94_L004_R2_001)	COMPLETED	0	2025-05-19 11:44:07.245	1m 54s	1m 54s	89.4%	712.7 MB	4.3 GB	1.2 GB	1.8 MB
29	cd/f74007	1239631	MULTIQC_FASTP (multiqc)	COMPLETED	0	2025-05-19 11:45:58.274	3.4s	3s	307.0%	92.2 MB	17.2 GB	44.5 MB	26.4 MB
9	2b/f61edd	1203772	FASTQC_RAW (P12002_101_S13_L002_R1_001)	COMPLETED	0	2025-05-19 11:44:07.162	1m 59s	1m 59s	90.3%	710.3 MB	4.4 GB	1.3 GB	1.8 MB
13	24/63be9c	1204076	FASTQC_RAW (P12002_101_S13_L005_R2_001)	COMPLETED	0	2025-05-19 11:44:07.250	1m 59s	1m 59s	90.0%	712.9 MB	4.4 GB	1.3 GB	1.8 MB
7	ba/a35aa1	1203804	FASTQC_RAW (P12002_101_S13_L008_R1_001)	COMPLETED	0	2025-05-19 11:44:07.193	1m 59s	1m 59s	89.9%	721.8 MB	4.4 GB	1.2 GB	1.8 MB
10	c1/63d234	1203865	FASTQC_RAW (P12002_101_S13_L008_R2_001)	COMPLETED	0	2025-05-19 11:44:07.214	1m 59s	1m 59s	89.7%	715.7 MB	4.3 GB	1.3 GB	1.8 MB
